step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
640.0,66,7033.0,87.9125,2.2486417054819827,66,14349.0,0.09910318957035202,66,14349.0
645.0,66,7363.0,95.62337662337663,1.7228428819422996,66,14679.0,0.06554301390903944,66,14679.0
650.0,62,7405.0,91.41975308641975,2.1044499433299855,62,14886.0,0.11038702096095991,62,14886.0
655.0,59,7606.0,95.075,2.563130218145262,59,14986.0,0.12048438689270359,59,14986.0
660.0,62,7910.0,96.46341463414635,2.6543824027883516,62,15226.0,0.0688119522516871,62,15226.0
665.0,61,8181.0,99.76829268292683,2.5297959252916296,61,15522.0,0.08784641658656939,61,15522.0
670.0,59,8471.0,107.22784810126582,2.7007154173050227,59,15792.0,0.09716360684659653,59,15792.0
675.0,61,8768.0,110.9873417721519,3.094143385574854,61,16084.0,0.08678326234835644,61,16084.0
680.0,61,9073.0,119.38157894736842,2.694075906235125,61,16389.0,0.09922384696868558,61,16389.0
685.0,60,9336.0,126.16216216216216,1.8961652081823672,60,16661.0,0.09386910276025633,60,16661.0
690.0,60,9636.0,132.0,2.143073308753958,60,16952.0,0.07099912819499912,60,16952.0
695.0,64,9943.0,132.57333333333332,1.914101921020595,64,17259.0,0.06650691879470862,64,17259.0
700.0,64,10263.0,140.58904109589042,1.365456833803482,64,17579.0,0.06253123811418299,64,17579.0
705.0,62,10028.0,131.94736842105263,1.6613474034695224,62,16964.0,0.0851137369886835,62,16964.0
710.0,52,9411.0,123.82894736842105,1.953398939370773,52,15463.0,0.07868589167075606,52,15463.0
715.0,50,8968.0,112.1,3.4840182431092614,50,13274.0,0.13381519007206985,50,13274.0
720.0,38,8321.0,109.48684210526316,2.7270035706180233,38,13423.0,0.10726290461002727,38,13423.0
725.0,34,7856.0,99.44303797468355,3.883797615853889,34,13472.0,0.20212588880256818,34,13472.0
730.0,40,8028.0,100.35,3.4906696798780814,40,13576.0,0.13524988504892757,40,13576.0
735.0,47,8248.0,97.03529411764706,3.7808997429996856,47,13764.0,0.152913422892495,47,13764.0
740.0,55,8505.0,102.46987951807229,3.0927739094940336,55,14020.0,0.09189617271584444,55,14020.0
745.0,57,4841.0,56.95294117647059,2.2470118387301636,57,12846.0,0.08560486093144747,57,12846.0
750.0,56,1369.0,17.329113924050635,2.3572964591821512,56,10647.0,0.10609620327806903,56,10647.0
755.0,52,1065.0,12.987804878048781,3.0376291442353556,52,8227.0,0.11083518292258303,52,8227.0
760.0,52,1272.0,15.9,2.7593644961528168,52,8469.0,0.12092111679029711,52,8469.0
765.0,56,1528.0,19.1,2.622037468094938,56,8698.0,0.09396738062460253,56,8698.0
770.0,60,1823.0,23.371794871794872,2.9553634275743264,60,8985.0,0.0799737541010791,60,8985.0
775.0,60,2123.0,27.571428571428573,2.6798099950280503,60,9285.0,0.1081576105644249,60,9285.0
780.0,60,2423.0,33.65277777777778,1.7329229053827904,60,9585.0,0.055887990393925814,60,9585.0
785.0,56,2353.0,30.960526315789473,2.078249821102043,56,9741.0,0.10077149949998959,56,9741.0
790.0,51,2416.0,33.0958904109589,2.13028433700581,51,9776.0,0.08773690533178753,51,9776.0
795.0,53,2677.0,33.4625,3.589662238878789,53,9876.0,0.15926528229872527,53,9876.0
800.0,51,2893.0,38.06578947368421,2.799853295741553,51,10096.0,0.1164560452376668,51,10096.0
805.0,54,3148.0,40.35897435897436,2.959536814161493,54,10331.0,0.11808848608534811,54,10331.0
810.0,56,3428.0,46.32432432432432,3.1233540287376327,56,10606.0,0.08882092287024163,56,10606.0
815.0,56,3708.0,50.108108108108105,2.9445316290875767,56,10886.0,0.09627031757505387,56,10886.0
820.0,52,3883.0,56.27536231884058,2.447555989549439,52,11108.0,0.10073688011239555,52,11108.0
825.0,50,4128.0,58.140845070422536,3.3324112655707343,50,11292.0,0.13585355393752094,50,11292.0
830.0,54,4387.0,62.67142857142857,2.9634673082723673,54,11549.0,0.09402762895911258,54,11549.0
835.0,50,4628.0,69.07462686567165,2.2740343355158585,50,11798.0,0.09475186192165011,50,11798.0
840.0,50,4878.0,75.04615384615384,2.5551872080466422,50,12040.0,0.0950368346129594,50,12040.0
845.0,51,5132.0,75.47058823529412,3.1756315019906047,51,12294.0,0.11657507912817612,51,12294.0
850.0,47,4622.0,71.1076923076923,2.4672047022342385,47,11558.0,0.10186833860700997,47,11558.0
855.0,40,3589.0,55.215384615384615,3.2963824730395124,40,9888.0,0.16353237378677327,40,9888.0
860.0,37,2920.0,44.92307692307692,4.240766740525876,37,7488.0,0.18546274908979987,37,7488.0
865.0,25,1933.0,30.203125,3.8545397264318124,25,7615.0,0.20655556010847645,25,7615.0
870.0,25,1335.0,20.859375,4.768025883910816,25,7716.0,0.25767431897430426,25,7716.0
875.0,32,1480.0,22.424242424242426,3.5394033259459468,32,7861.0,0.13734636413038961,32,7861.0
880.0,42,1675.0,23.928571428571427,3.240484586811156,42,8056.0,0.13038499969794234,42,8056.0
885.0,49,1902.0,27.970588235294116,1.9476558589416872,49,8283.0,0.09016713551016893,49,8283.0
890.0,58,2169.0,30.125,1.7080889944538131,58,8553.0,0.08017668420700523,58,8553.0
895.0,62,2472.0,34.333333333333336,1.7168039804135287,62,8857.0,0.08145040821195478,62,8857.0
900.0,63,2783.0,37.608108108108105,1.7099721403266397,63,9168.0,0.06709412567215982,63,9168.0
905.0,64,3102.0,41.91891891891892,1.7917400631547602,64,9487.0,0.06842586348368082,64,9487.0
