step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
795.0,19,925.0,20.108695652173914,6.708229870639344,19,1284.0,0.38662092883066923,19,1284.0
800.0,16,639.0,14.86046511627907,5.611673627668399,16,1133.0,0.2810532432297308,16,1133.0
805.0,12,191.0,4.1521739130434785,5.6308343639926886,12,677.0,0.2509600196950119,12,677.0
810.0,10,178.0,4.238095238095238,6.2212802956096285,10,614.0,0.28886327475352175,10,614.0
815.0,12,221.0,5.525,5.375421542268185,12,630.0,0.24654803145182894,12,630.0
820.0,20,304.0,7.794871794871795,5.980321605282975,20,708.0,0.2379603640183916,20,708.0
825.0,20,404.0,10.35897435897436,6.162987377075398,20,808.0,0.2679446851875427,20,808.0
830.0,21,506.0,12.65,6.002981702938252,21,910.0,0.28931296928139405,21,910.0
835.0,18,357.0,9.394736842105264,5.201573715937777,18,815.0,0.3046717301804331,18,815.0
840.0,24,464.0,12.54054054054054,3.1017598879437283,24,868.0,0.11223241649770758,24,868.0
845.0,24,574.0,14.35,4.000275501072201,24,986.0,0.2063627684570772,24,986.0
850.0,24,694.0,17.794871794871796,4.149344899158928,24,1098.0,0.15479089805999524,24,1098.0
855.0,21,599.0,14.261904761904763,4.618568344633572,21,1120.0,0.21923217601057707,21,1120.0
860.0,21,656.0,16.0,5.303059731681381,21,1098.0,0.23900609188000901,21,1098.0
865.0,15,439.0,10.209302325581396,5.807467316746181,15,933.0,0.3100373290329108,15,933.0
870.0,13,90.0,1.9565217391304348,6.672326183881081,13,601.0,0.36411256193987884,13,601.0
875.0,11,64.0,1.5609756097560976,4.866807075647475,11,627.0,0.22686327459847855,11,627.0
880.0,17,110.0,2.619047619047619,5.048217462617706,17,646.0,0.2476590389767792,17,646.0
885.0,22,214.0,5.219512195121951,5.535499089025844,22,727.0,0.16232384933155541,22,727.0
890.0,20,211.0,4.906976744186046,5.00112034621984,20,782.0,0.19422629711493986,20,782.0
895.0,20,301.0,8.135135135135135,5.403610600231009,20,806.0,0.21118007591268345,20,806.0
900.0,17,363.0,9.552631578947368,4.6463316912265045,17,880.0,0.1857346594092883,17,880.0
905.0,18,447.0,10.902439024390244,6.3919936705347045,18,951.0,0.3095262431661548,18,951.0
