step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
305.0,24,426.0,5.011764705882353,2.126211355387391,24,2348.0,0.09039807686375913,24,2348.0
310.0,29,502.0,5.7701149425287355,2.231548438985539,29,2277.0,0.09693760042729582,29,2277.0
315.0,29,588.0,6.606741573033708,2.88709984242774,29,2089.0,0.11751050219049873,29,2089.0
320.0,32,720.0,8.372093023255815,3.1142986471011556,32,1828.0,0.10343718120249176,32,1828.0
325.0,45,900.0,9.89010989010989,2.919407557980748,45,1718.0,0.10035127532109422,45,1718.0
330.0,42,1007.0,11.709302325581396,2.9018255333714076,42,1782.0,0.15249699512762488,42,1782.0
335.0,47,1078.0,12.112359550561798,3.179756475009673,47,1810.0,0.1627211670682252,47,1810.0
340.0,47,1152.0,12.8,2.4046031918025093,47,1916.0,0.0992731662896936,47,1916.0
345.0,43,1231.0,13.527472527472527,2.5376732028367353,43,1889.0,0.09972119700198065,43,1889.0
350.0,41,1315.0,14.293478260869565,2.2460932958485658,41,2015.0,0.1014645155595165,41,2015.0
355.0,43,1450.0,15.425531914893616,2.0849818495600387,43,2069.0,0.0883182588237952,43,2069.0
360.0,45,1579.0,16.621052631578948,1.7946890754540858,45,2140.0,0.07040553339745607,45,2140.0
365.0,50,1732.0,16.653846153846153,2.2324115469469166,50,2311.0,0.09536081846285213,50,2311.0
370.0,46,1322.0,13.089108910891088,2.3152609178760954,46,2303.0,0.11461898734679984,46,2303.0
375.0,51,1106.0,10.843137254901961,1.6021775398956322,51,2152.0,0.0640835145680011,51,2152.0
380.0,60,1310.0,12.718446601941748,1.7690372386840714,60,2313.0,0.057493406728474895,60,2313.0
385.0,66,1560.0,15.0,1.8054635255144147,66,2551.0,0.06069557142894711,66,2551.0
390.0,70,1865.0,18.284313725490197,2.166116697354253,70,2811.0,0.05498756975448619,70,2811.0
395.0,66,1971.0,19.90909090909091,1.7767527079299559,66,3022.0,0.06325266312646087,66,3022.0
400.0,60,1936.0,19.168316831683168,2.259650763308041,60,3080.0,0.10376006101869524,60,3080.0
405.0,55,1839.0,18.029411764705884,2.6436415263360504,55,3118.0,0.12772449952792614,55,3118.0
410.0,51,1718.0,17.18,2.1073298799648414,51,3105.0,0.08187259476662458,51,3105.0
415.0,60,1817.0,17.640776699029125,1.5359165301896438,60,3257.0,0.053492749072075574,60,3257.0
420.0,65,2080.0,20.194174757281555,1.6364373988468102,65,3346.0,0.05032137462467268,65,3346.0
425.0,67,1542.0,14.826923076923077,1.783271892631224,67,3331.0,0.06423366804955148,67,3331.0
430.0,63,1045.0,10.145631067961165,1.8907225741934321,63,2984.0,0.05468623269090783,63,2984.0
435.0,63,1262.0,12.25242718446602,2.4828323693935594,63,2827.0,0.07837148570125896,63,2827.0
440.0,70,1596.0,15.346153846153847,2.6453104862390666,70,2926.0,0.09401529086601534,70,2926.0
445.0,77,1967.0,19.67,2.003601374879036,77,3237.0,0.05738213608934421,77,3237.0
450.0,81,2053.0,21.164948453608247,1.1725881116420418,81,3504.0,0.022522049049697526,81,3504.0
455.0,77,2041.0,21.71276595744681,1.3133330721104663,77,3646.0,0.03714900018204946,77,3646.0
460.0,64,1687.0,18.13978494623656,1.834665960515627,64,3762.0,0.06715472939420442,64,3762.0
